Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2024-12-27T13:38:59-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  241227C05970000,Equity Option,Bought 1 SPX 12/27/24 Call 5970.00 @ 5.67,-567.00,1,-567.00,-1.00,-0.77,100,SPXW,SPX,12/27/24,5970,CALL,358464939,-568.77,USD
2024-12-27T13:28:15-0600,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  241230P05930000,Equity Option,Sold 1 SPX 12/30/24 Put 5930.00 @ 9.09,909.00,1,909.00,0.00,-0.77,100,SPXW,SPX,12/30/24,5930,PUT,358460513,908.23,USD
2024-12-27T13:28:15-0600,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  241230P05950000,Equity Option,Bought 1 SPX 12/30/24 Put 5950.00 @ 14.89,"-1,489.00",1,"-1,489.00",0.00,-0.77,100,SPXW,SPX,12/30/24,5950,PUT,358460513,"-1,489.77",USD
2024-12-27T12:43:01-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  241230P05950000,Equity Option,Sold 1 SPX 12/30/24 Put 5950.00 @ 19.41,"1,941.00",1,"1,941.00",-1.00,-0.77,100,SPXW,SPX,12/30/24,5950,PUT,358443580,"1,939.23",USD
2024-12-27T12:43:01-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  241230P05930000,Equity Option,Bought 1 SPX 12/30/24 Put 5930.00 @ 12.41,"-1,241.00",1,"-1,241.00",-1.00,-0.77,100,SPXW,SPX,12/30/24,5930,PUT,358443580,"-1,242.77",USD
2024-12-27T11:35:32-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 5993.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358417359,-1.52,USD
2024-12-27T09:38:01-0600,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  241227C06015000,Equity Option,Bought 1 SPX 12/27/24 Call 6015.00 @ 1.15,-115.00,1,-115.00,0.00,-0.77,100,SPXW,SPX,12/27/24,6015,CALL,358353316,-115.77,USD
2024-12-27T08:36:32-0600,Trade,Sell to Open,SELL_TO_OPEN,SPXW  241227C06015000,Equity Option,Sold 1 SPX 12/27/24 Call 6015.00 @ 4.76,476.00,1,476.00,-1.00,-0.77,100,SPXW,SPX,12/27/24,6015,CALL,358291775,474.23,USD
2024-12-27T08:36:32-0600,Trade,Buy to Open,BUY_TO_OPEN,SPXW  241227C06000000,Equity Option,Bought 1 SPX 12/27/24 Call 6000.00 @ 9.76,-976.00,1,-976.00,-1.00,-0.77,100,SPXW,SPX,12/27/24,6000,CALL,358291775,-977.77,USD
2024-12-27T08:11:38-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 6062.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358281401,-1.52,USD
2024-12-27T08:10:28-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 21880.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358281283,-1.52,USD
2024-12-26T14:41:16-0600,Trade,Sell,SELL,/MNQH5,Future,Sold 1 /MNQH5 @ 22050.75,71.50,1,71.50,-0.85,-0.67,,,,,,,358252083,69.98,USD
2024-12-26T14:41:06-0600,Trade,Sell,SELL,/MESH5,Future,Sold 1 /MESH5 @ 6101.25,43.75,1,43.75,-0.85,-0.67,,,,,,,358251937,42.23,USD
2024-12-26T13:33:58-0600,Trade,Buy,BUY,/MNQH5,Future,Bought 1 /MNQH5 @ 22015.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358230147,-1.52,USD
2024-12-26T13:32:28-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 6092.5,0.00,1,0.00,-0.85,-0.67,,,,,,,358229863,-1.52,USD
2024-12-26T12:46:27-0600,Trade,Sell to Open,SELL_TO_OPEN,MSTR  250117P00360000,Equity Option,Sold 1 MSTR 01/17/25 Put 360.00 @ 39.40,"3,940.00",1,"3,940.00",-1.00,-0.23,100,MSTR,MSTR,1/17/25,360,PUT,358216432,"3,938.77",USD
2024-12-26T12:46:27-0600,Trade,Buy to Close,BUY_TO_CLOSE,MSTR  241227P00360000,Equity Option,Bought 1 MSTR 12/27/24 Put 360.00 @ 17.15,"-1,715.00",1,"-1,715.00",0.00,-0.12,100,MSTR,MSTR,12/27/24,360,PUT,358216432,"-1,715.12",USD
2024-12-26T11:12:36-0600,Trade,Buy,BUY,/MESH5,Future,Bought 1 /MESH5 @ 6102.5,-2.50,1,-2.50,-0.85,-0.67,,,,,,,358182227,-4.02,USD
2024-12-26T11:07:41-0600,Trade,Sell,SELL,/MESH5,Future,Sold 1 /MESH5 @ 6102.0,0.00,1,0.00,-0.85,-0.67,,,,,,,358095536,-1.52,USD
