Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2025-04-18T13:36:19-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,0.05,0,,--,0.00,,,,,,,,0.05,USD
2025-04-17T13:58:50-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18425.75,-23.00,1,-23.00,-0.85,-0.67,,,,,,,379404944,-24.52,USD
2025-04-17T13:56:50-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18437.25,0.00,1,0.00,-0.85,-0.67,,,,,,,379404610,-1.52,USD
2025-04-17T12:14:31-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18411.5,-27.00,1,-27.00,-0.85,-0.67,,,,,,,379363201,-28.52,USD
2025-04-17T12:11:36-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18425.0,0.00,1,0.00,-0.85,-0.67,,,,,,,379362952,-1.52,USD
2025-04-17T11:25:03-0500,Trade,Sell to Close,SELL_TO_CLOSE,./ESM5 E3DJ5 250417P5280,Future Option,Sold 1 /ESM5 E3DJ5 04/17/25 Put 5280.00 @ 4.9,245.00,1,245.00,0.00,-0.87,1,"./ESM5 E3DJ5 ",/ESM5,4/17/25,5280,PUT,379342469,244.13,USD
2025-04-17T11:25:03-0500,Trade,Buy to Close,BUY_TO_CLOSE,./ESM5 E3DJ5 250417P5300,Future Option,Bought 1 /ESM5 E3DJ5 04/17/25 Put 5300.00 @ 8.05,-402.50,1,-402.50,0.00,-0.87,1,"./ESM5 E3DJ5 ",/ESM5,4/17/25,5300,PUT,379342469,-403.37,USD
2025-04-17T11:21:16-0500,Trade,Sell to Close,SELL_TO_CLOSE,./ESM5 E3DJ5 250417P5280,Future Option,Sold 1 /ESM5 E3DJ5 04/17/25 Put 5280.00 @ 5.0,250.00,1,250.00,0.00,-0.87,1,"./ESM5 E3DJ5 ",/ESM5,4/17/25,5280,PUT,379340793,249.13,USD
2025-04-17T11:21:16-0500,Trade,Buy to Close,BUY_TO_CLOSE,./ESM5 E3DJ5 250417P5300,Future Option,Bought 1 /ESM5 E3DJ5 04/17/25 Put 5300.00 @ 8.0,-400.00,1,-400.00,0.00,-0.87,1,"./ESM5 E3DJ5 ",/ESM5,4/17/25,5300,PUT,379340793,-400.87,USD
2025-04-17T11:12:02-0500,Trade,Buy to Open,BUY_TO_OPEN,./ESM5 E3DJ5 250417P5280,Future Option,Bought 1 /ESM5 E3DJ5 04/17/25 Put 5280.00 @ 7.75,-387.50,1,-387.50,-2.50,-0.87,1,"./ESM5 E3DJ5 ",/ESM5,4/17/25,5280,PUT,379336341,-390.87,USD
2025-04-17T11:12:02-0500,Trade,Sell to Open,SELL_TO_OPEN,./ESM5 E3DJ5 250417P5300,Future Option,Sold 1 /ESM5 E3DJ5 04/17/25 Put 5300.00 @ 12.75,637.50,1,637.50,-2.50,-0.87,1,"./ESM5 E3DJ5 ",/ESM5,4/17/25,5300,PUT,379336341,634.13,USD
2025-04-17T11:09:59-0500,Trade,Buy to Open,BUY_TO_OPEN,./ESM5 E3DJ5 250417P5280,Future Option,Bought 1 /ESM5 E3DJ5 04/17/25 Put 5280.00 @ 6.25,-312.50,1,-312.50,-2.50,-0.87,1,"./ESM5 E3DJ5 ",/ESM5,4/17/25,5280,PUT,379335530,-315.87,USD
2025-04-17T11:09:59-0500,Trade,Sell to Open,SELL_TO_OPEN,./ESM5 E3DJ5 250417P5300,Future Option,Sold 1 /ESM5 E3DJ5 04/17/25 Put 5300.00 @ 10.35,517.50,1,517.50,-2.50,-0.87,1,"./ESM5 E3DJ5 ",/ESM5,4/17/25,5300,PUT,379335530,514.13,USD
2025-04-17T11:06:03-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18405.75,51.50,1,51.50,-0.85,-0.67,,,,,,,379333335,49.98,USD
2025-04-17T11:05:19-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18391.0,-40.50,1,-40.50,-0.85,-0.67,,,,,,,379332063,-42.02,USD
2025-04-17T11:05:19-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5325.0,11.25,1,11.25,-0.85,-0.67,,,,,,,379331458,9.73,USD
2025-04-17T10:57:40-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5316.0,-83.75,1,-83.75,-0.85,-0.67,,,,,,,379329729,-85.27,USD
2025-04-17T10:42:34-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18380.0,0.00,1,0.00,-0.85,-0.67,,,,,,,379323219,-1.52,USD
2025-04-17T10:38:58-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5322.75,0.00,1,0.00,-0.85,-0.67,,,,,,,379321736,-1.52,USD
2025-04-17T10:38:04-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5332.75,0.00,1,0.00,-0.85,-0.67,,,,,,,379321248,-1.52,USD
2025-04-17T10:37:58-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18411.25,0.00,1,0.00,-0.85,-0.67,,,,,,,379321159,-1.52,USD
2025-04-17T10:37:48-0500,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  250417C05310000,Equity Option,Bought 1 SPX 04/17/25 Call 5310.00 @ 16.27,"-1,627.00",1,"-1,627.00",0.00,-0.78,100,SPXW,SPX,4/17/25,5310,CALL,379314759,"-1,627.78",USD
2025-04-17T10:37:48-0500,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  250417C05300000,Equity Option,Sold 1 SPX 04/17/25 Call 5300.00 @ 21.27,"2,127.00",1,"2,127.00",0.00,-0.78,100,SPXW,SPX,4/17/25,5300,CALL,379314759,"2,126.22",USD
2025-04-17T10:36:20-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5317.5,13.75,1,13.75,-0.85,-0.67,,,,,,,379318441,12.23,USD
2025-04-17T10:36:00-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18364.75,10.50,1,10.50,-0.85,-0.67,,,,,,,379320315,8.98,USD
2025-04-17T10:35:24-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 2 /MNQM5 @ 18370.0,27.00,2,13.50,-1.70,-1.34,,,,,,,379319349,23.96,USD
2025-04-17T10:35:06-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18374.0,-4.00,1,-4.00,-0.85,-0.67,,,,,,,379319583,-5.52,USD
2025-04-17T10:30:42-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18356.5,0.00,1,0.00,-0.85,-0.67,,,,,,,379317969,-1.52,USD
2025-04-17T10:29:31-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5314.75,0.00,1,0.00,-0.85,-0.67,,,,,,,379317295,-1.52,USD
2025-04-17T10:29:02-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18336.0,-106.00,1,-106.00,-0.85,-0.67,,,,,,,379316671,-107.52,USD
2025-04-17T10:27:58-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5318.25,141.25,1,141.25,-0.85,-0.67,,,,,,,379315495,139.73,USD
2025-04-17T10:27:05-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18376.0,0.00,1,0.00,-0.85,-0.67,,,,,,,379316014,-1.52,USD
2025-04-17T10:21:34-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5323.0,165.00,1,165.00,-0.85,-0.67,,,,,,,379312142,163.48,USD
2025-04-17T10:21:34-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18385.0,143.00,1,143.00,-0.85,-0.67,,,,,,,379311595,141.48,USD
2025-04-17T10:20:55-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5326.25,152.50,1,152.50,-0.85,-0.67,,,,,,,379312791,150.98,USD
2025-04-17T10:17:09-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18389.0,0.00,1,0.00,-0.85,-0.67,,,,,,,379311092,-1.52,USD
2025-04-17T10:03:59-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5301.75,17.50,1,17.50,-0.85,-0.67,,,,,,,379302434,15.98,USD
2025-04-17T10:03:21-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18295.5,47.50,1,47.50,-0.85,-0.67,,,,,,,379297460,45.98,USD
2025-04-17T09:37:23-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5290.0,0.00,1,0.00,-0.85,-0.67,,,,,,,379286420,-1.52,USD
2025-04-17T09:37:23-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5290.0,0.00,1,0.00,-0.85,-0.67,,,,,,,379286351,-1.52,USD
2025-04-17T09:32:11-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18313.5,0.00,1,0.00,-0.85,-0.67,,,,,,,379282845,-1.52,USD
2025-04-17T09:31:48-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5295.75,0.00,1,0.00,-0.85,-0.67,,,,,,,379282512,-1.52,USD
2025-04-17T09:31:15-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18271.75,0.00,1,0.00,-0.85,-0.67,,,,,,,379281889,-1.52,USD
2025-04-17T09:31:06-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5298.25,0.00,1,0.00,-0.85,-0.67,,,,,,,379281729,-1.52,USD
2025-04-17T09:30:42-0500,Trade,Sell to Open,SELL_TO_OPEN,SPXW  250417C05310000,Equity Option,Sold 1 SPX 04/17/25 Call 5310.00 @ 8.90,890.00,1,890.00,-1.00,-0.78,100,SPXW,SPX,4/17/25,5310,CALL,379280974,888.22,USD
2025-04-17T09:30:42-0500,Trade,Buy to Open,BUY_TO_OPEN,SPXW  250417C05300000,Equity Option,Bought 1 SPX 04/17/25 Call 5300.00 @ 11.75,"-1,175.00",1,"-1,175.00",-1.00,-0.78,100,SPXW,SPX,4/17/25,5300,CALL,379280974,"-1,176.78",USD
2025-04-17T09:24:29-0500,Trade,Sell,SELL,/MESM5,Future,Sold 2 /MESM5 @ 5305.75,-113.75,2,-56.87,-1.70,-1.34,,,,,,,379276170,-116.79,USD
2025-04-17T09:18:56-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5312.5,0.00,1,0.00,-0.85,-0.67,,,,,,,379271992,-1.52,USD
2025-04-17T09:15:08-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5321.75,0.00,1,0.00,-0.85,-0.67,,,,,,,379269255,-1.52,USD
2025-04-17T09:14:05-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18404.0,5.00,1,5.00,-0.85,-0.67,,,,,,,379267000,3.48,USD
2025-04-17T09:13:41-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5322.0,6.25,1,6.25,-0.85,-0.67,,,,,,,379267063,4.73,USD
2025-04-17T09:07:35-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5320.75,0.00,1,0.00,-0.85,-0.67,,,,,,,379263462,-1.52,USD
2025-04-17T09:07:12-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18401.5,0.00,1,0.00,-0.85,-0.67,,,,,,,379263117,-1.52,USD
2025-04-17T09:03:22-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5326.75,-41.25,1,-41.25,-0.85,-0.67,,,,,,,379259410,-42.77,USD
2025-04-17T09:01:29-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5335.0,0.00,1,0.00,-0.85,-0.67,,,,,,,379258708,-1.52,USD
2025-04-17T08:55:28-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18467.5,-40.50,1,-40.50,-0.85,-0.67,,,,,,,379253558,-42.02,USD
2025-04-17T08:55:12-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18487.75,0.00,1,0.00,-0.85,-0.67,,,,,,,379253557,-1.52,USD
2025-04-17T08:49:59-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5323.75,26.25,1,26.25,-0.85,-0.67,,,,,,,379248346,24.73,USD
2025-04-17T08:49:47-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18445.0,94.00,1,94.00,-0.85,-0.67,,,,,,,379246677,92.48,USD
2025-04-17T08:49:33-0500,Trade,Sell,SELL,/MESM5,Future,Sold 1 /MESM5 @ 5322.25,5.00,1,5.00,-0.85,-0.67,,,,,,,379247783,3.48,USD
2025-04-17T08:49:01-0500,Trade,Sell,SELL,/MNQM5,Future,Sold 1 /MNQM5 @ 18420.5,9.50,1,9.50,-0.85,-0.67,,,,,,,379247317,7.98,USD
2025-04-17T08:46:09-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18398.0,0.00,1,0.00,-0.85,-0.67,,,,,,,379244560,-1.52,USD
2025-04-17T08:46:05-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5318.5,0.00,1,0.00,-0.85,-0.67,,,,,,,379244496,-1.52,USD
2025-04-17T08:45:00-0500,Trade,Buy,BUY,/MNQM5,Future,Bought 1 /MNQM5 @ 18415.75,0.00,1,0.00,-0.85,-0.67,,,,,,,379243477,-1.52,USD
2025-04-17T08:44:44-0500,Trade,Buy,BUY,/MESM5,Future,Bought 1 /MESM5 @ 5321.25,0.00,1,0.00,-0.85,-0.67,,,,,,,379243075,-1.52,USD
