rootSymbol,symbol,expDate,strike,type,openId,closeId,quantity,openDate,closeDate,openPrice,closePrice,gainPerUnit,netProceeds,openHashId,closeHashId
/MESZ4,./MESZ4EX3V4 241018C5980,10/18/24,5980,CALL,7,5,1,2024-10-17T08:18:44-0500,2024-10-17T08:20:28-0500,-8.75,10,18.75,16.33,8422a2420ea5bd679d64c5a09d6bd1d8,4f3172db094b4129dec714a12ea86864
/MESZ4,./MESZ4EX3V4 241018C5960,10/18/24,5960,CALL,8,6,1,2024-10-17T08:18:44-0500,2024-10-17T08:20:28-0500,23.25,-25,-48.25,-50.67,7702cf97232cd4114353a656bfdb1afb,9e0390e3fc15acbcfb1fd5f2798c423d
/NQZ4,./NQZ4 Q2CX4 241113C21330,11/13/24,21330,CALL,3,1,1,2024-11-12T13:55:26-0600,2024-11-12T14:13:57-0600,-460,445,905,900.76,a364891544a572e45918b93ab1721671,e3866357ecaa7d3d6aaa33cb639290be
/NQZ4,./NQZ4 Q2CX4 241113C21300,11/13/24,21300,CALL,4,2,1,2024-11-12T13:55:26-0600,2024-11-12T14:13:57-0600,615,-595,-1210,-1214.24,f75afe19464e546389ca077e4f175e5c,bc05292d08a6e8e18bf0587a73fbc6fc
/ESM5,./ESM5 E3DJ5 250417P5280,4/17/25,5280,PUT,15,11,1,2025-04-17T11:09:59-0500,2025-04-17T11:21:16-0500,-312.5,250,562.5,558.26,eff13b0056b48ff434540c6754deed5a,2cc57be4ba2b5eb266d1602255fb3661
/ESM5,./ESM5 E3DJ5 250417P5300,4/17/25,5300,PUT,16,12,1,2025-04-17T11:09:59-0500,2025-04-17T11:21:16-0500,517.5,-400,-917.5,-921.74,c4c3bbe121d961b4dd733c3284b90ae5,b9491db7e22a6d8fe697f0857595fa71
/ESM5,./ESM5 E3DJ5 250417P5300,4/17/25,5300,PUT,14,10,1,2025-04-17T11:12:02-0500,2025-04-17T11:25:03-0500,637.5,-402.5,-1040,-1044.24,30ae78a34e432e55ff237be909f2f82e,2100ef9ba9a5dd5c3edfa4e191740e30
